SimID,L,Haploid,monoecious,omega,complete,U,sigma,distance_1,distance_2,DeltaPhenExp_1,DeltaPhenExp_2,DeltaGenExp_1,DeltaGenExp_2,DeltaPhenShift,DeltaGenShift,ExtRisk
8886,4,FALSE,TRUE,0.5,0,0.015,0.14142135623731,564,563,0.507912921321705,0.419470256221106,-1.33622924438813,-1.27658879626543,NA,NA,1
8887,4,FALSE,TRUE,0.5,0,0.015,0.14142135623731,613,633,0.30970535927672,0.428208070432652,-0.848734223718407,-0.913884852770843,0.172657906860076,-1.22619963824393,0
8888,4,FALSE,TRUE,0.5,0,0.015,0.14142135623731,618,607,0.0646547500677872,0.227107631479246,-0.878365931313275,-0.56986512319747,0.108998955071857,-1.04233081686221,0
8889,4,FALSE,TRUE,0.5,0,0.015,0.14142135623731,496,496,0.434165761853587,0.38920526049263,-1.77590474778863,-1.68806201196333,NA,NA,1
8890,4,FALSE,TRUE,0.5,0,0.015,0.14142135623731,661,669,0.521179822599545,0.489747835656177,-1.18253777771698,-1.16366332691223,0.412741444077851,-1.41258944525524,0
8891,4,FALSE,TRUE,0.5,0,0.015,0.14142135623731,616,620,0.319579050643023,0.390673594555292,-1.72180969742987,-1.8472776112964,0.135778703646585,-2.05498638820179,0
8892,4,FALSE,TRUE,0.5,0,0.015,0.14142135623731,716,633,0.857332091383185,0.953408037176028,-0.290588767675214,-0.261022664131865,NA,NA,1
8893,4,FALSE,TRUE,0.5,0,0.015,0.14142135623731,549,511,0.187388703066535,0.16683562975165,-0.926375761664295,-0.548048809958085,0.25005387875603,-1.05305854180923,0
8894,4,FALSE,TRUE,0.5,0,0.015,0.14142135623731,562,565,0.205259996212793,0.250299754400986,-0.728630839546208,-1.00038427051483,0.293520744542765,-1.33264849110716,0
8895,4,FALSE,TRUE,0.5,0,0.015,0.14142135623731,716,655,0.490547378811591,0.363284027991761,-0.0189784071362309,-0.107353577165553,0.327901814621245,-0.567489500654087,0
8896,4,FALSE,TRUE,0.5,0,0.015,0.14142135623731,781,767,0.651694143537736,0.767311188709554,-2.35068723525283,-2.15372144452738,0.495399133075855,-2.57974402886392,0
8897,4,FALSE,TRUE,0.5,0,0.015,0.14142135623731,562,562,0.403997803858135,0.441803444513481,-1.82838687955892,-2.67350097187821,NA,NA,1
8898,4,FALSE,TRUE,0.5,0,0.015,0.14142135623731,537,507,0.342705541454263,0.415035771365862,-0.977562947012771,-1.20267324893979,NA,NA,1
8899,4,FALSE,TRUE,0.5,0,0.015,0.14142135623731,631,572,0.327172748736785,0.265625827931269,-1.41575382085875,-1.47445441195154,0.374617803274659,-1.39956552559411,0
8900,4,FALSE,TRUE,0.5,0,0.015,0.14142135623731,521,488,0.19987458818763,0.228216031058071,-0.8196162812207,-0.855821017382838,NA,NA,1
8901,4,FALSE,TRUE,1,0,0.015,0.14142135623731,638,686,0.0891320596887637,0.173905815305155,-0.419256303961839,-0.418636196080363,-0.0616613147669025,-0.408523180476347,0
