SimID,L,Haploid,monoecious,omega,complete,R,Kmax,distance_1,distance_2,DeltaPhenExp_1,DeltaPhenExp_2,DeltaGenExp_1,DeltaGenExp_2,DeltaPhenShift,DeltaGenShift,ExtRisk
5411,4,FALSE,TRUE,1,1,1.25,100,241,237,0.0248838097957953,-0.0153454761330002,-0.673257835598752,-0.679958342467688,NA,NA,1
5412,4,FALSE,TRUE,1,1,1.25,100,272,229,0.104700591557709,-0.10066067325439,-1.21613763413862,-0.556780671655268,NA,NA,1
5413,4,FALSE,TRUE,1,1,1.25,100,274,282,0.0569090512828154,0.0779780100119156,-1.44528643880915,-1.31012040536697,NA,NA,1
5414,4,FALSE,TRUE,1,1,1.25,100,257,292,0.0442858284163987,0.302591708037605,-0.859301430045961,-0.764959043642092,NA,NA,1
5415,4,FALSE,TRUE,1,1,1.25,100,330,275,0.352889801512657,0.0158035999917072,-1.8340616093064,-1.86638747823891,NA,NA,1
5416,4,FALSE,TRUE,1,1,1.25,100,297,372,0.169768009616477,0.438856513678168,-0.261930684820133,-0.713640037178181,NA,NA,1
5417,4,FALSE,TRUE,1,1,1.25,100,328,304,-0.0392837080714943,-0.00933013279969264,-0.95537707622254,-0.950380290129634,NA,NA,1
5418,4,FALSE,TRUE,1,1,1.25,100,256,262,0.105327377239488,0.090902112829641,-0.918499705802136,-1.22451894496519,NA,NA,1
5419,4,FALSE,TRUE,1,1,1.25,100,312,301,0.140410335055951,0.146290053971208,-0.673719247398534,-0.660901495906832,NA,NA,1
5420,4,FALSE,TRUE,1,1,1.25,100,298,295,0.137353825716491,0.156104739852441,-4.78971825111865,-4.78447615047619,NA,NA,1
5421,4,FALSE,TRUE,1,1,1.25,100,287,297,0.0569177986965756,0.0831794400856778,-0.54709225047999,-0.517428239908694,NA,NA,1
5422,4,FALSE,TRUE,1,1,1.25,100,258,292,0.0606112283957323,0.246065550487313,-0.517906406023648,-0.420100933182932,NA,NA,1
5423,4,FALSE,TRUE,1,1,1.25,100,297,304,0.0242387065071488,0.0683010955345686,-0.81370189609791,-0.812928496915178,NA,NA,1
5424,4,FALSE,TRUE,1,1,1.25,100,274,284,0.276998339305924,0.300512837191676,-1.50058187476186,-1.55808580768155,NA,NA,1
