SimID,L,Haploid,monoecious,omega,complete,PhenExp_1,PhenExp_2,GenExp_1,GenExp_2,PhenShift,GenShift
8591,2,FALSE,TRUE,0.5,1,1.45462673526908,1.4275651364587,0.250297695960423,0.021043010806918,NA,NA
8592,2,FALSE,TRUE,0.5,1,1.63083291536331,1.49267566550696,0.129226054817913,0.187960072066944,NA,NA
8593,2,FALSE,TRUE,0.5,1,2.18322589298373,2.14842613117487,1.45192619845853,0.696816460670263,2.15174677475682,0.038378495673315
8594,2,FALSE,TRUE,0.5,1,1.96221863227194,2.00103416484232,0.110451168951229,0.402407254840314,1.77545342576755,0.0642658402762359
8595,2,FALSE,TRUE,0.5,1,1.54631168283664,1.64376004906735,0.0787241472611964,0.142376489796891,NA,NA
8596,2,FALSE,TRUE,0.5,1,1.72517216842511,1.69711475362284,0.670953001492849,0.129479250319507,1.82962120751213,0.00139466179827398
8597,2,FALSE,TRUE,0.5,1,1.63134672773767,1.65672797934574,0.0778904950829098,0.433291497389195,1.70978688798194,0.0130909546205049
8598,2,FALSE,TRUE,0.5,1,2.01724506642906,1.88710141444822,0.295053559022496,0.320445688381274,1.73888683639969,0.0305420352138676
8599,2,FALSE,TRUE,0.5,1,1.81296667040696,1.85415318398709,0.757853406004264,0.389873197747233,1.8411614992871,0.0195422260902839
8600,2,FALSE,TRUE,0.5,1,1.78800461391976,1.81983879386069,0.106947367925672,0.397125697585907,1.9387725439552,0.0362617065115016
8601,2,FALSE,TRUE,0.5,1,1.72090051454209,1.71512650285022,0.00692862929952214,0.0628594864776737,1.61088254995869,0.0108059262105708
8602,2,FALSE,TRUE,0.5,1,1.67955518844142,1.66641688997384,0.187626293163539,0.11188303102423,1.56558719890891,0.0203172772954956
8603,2,FALSE,TRUE,0.5,1,2.09310800254039,2.19120114431577,0.631751788626809,0.487053921083071,1.76078153244794,0.0470242746051527
8604,2,FALSE,TRUE,0.5,1,1.62046243592951,1.70210186802203,0.279086224409205,0.366656241120942,1.64529785408244,0.00635508123287637
8605,2,FALSE,TRUE,0.5,1,1.63446544227957,1.47160393916893,0.249310749471194,0.499425845301925,NA,NA
8606,2,FALSE,TRUE,0.5,1,1.69003739272835,1.64017056920657,0.176536899680366,0.704150006687079,NA,NA
8607,2,FALSE,TRUE,0.5,1,1.54712342006737,1.6417455995697,0.608350707458826,0.10479774251247,NA,NA
8608,2,FALSE,TRUE,0.5,1,1.78262595644793,1.98706742843424,0.240556294112196,0.857626911080885,1.87979536381319,0.0015559974520361
8609,2,FALSE,TRUE,0.5,1,1.59993704476934,1.60897837781616,0.0386118856411829,0.0522957274220179,1.59567941615155,0.0184088384697918
8610,2,FALSE,TRUE,0.5,1,1.53643289532901,1.62472805147701,0.388223096175521,0.198944865890208,1.62642643144428,0.0103603768042348
8611,2,FALSE,TRUE,0.5,1,1.60272319405775,1.71945888678332,0.107609516722757,0.0932048156890306,1.57590926173781,0.00535448116434906
8612,2,FALSE,TRUE,0.5,1,1.4313455423775,1.42777050028571,0.897966595138398,0.228565109088528,NA,NA
8613,2,FALSE,TRUE,0.5,1,1.5195484790224,1.4204779870262,0.0995395540388843,0.189328297371988,1.56006327761559,0
8614,2,FALSE,TRUE,0.5,1,1.71796742902465,1.78009843178561,0.547085307940757,0.167864320211789,1.74537939407763,0.0172922409480301
8615,2,FALSE,TRUE,0.5,1,1.48772706451195,1.50817098018946,0.0960393656478919,0.0763176751735031,1.570096374917,0.00321684921211626
8616,2,FALSE,TRUE,0.5,1,1.79680116109481,1.92247668980281,0.394365520872305,0.38848230085776,NA,NA
8617,2,FALSE,TRUE,0.5,1,1.79995805629681,1.86434694851939,0.465259524521278,0.0403189849106964,1.74166160609975,0.0320318214096763
8618,2,FALSE,TRUE,0.5,1,1.29665423608483,1.47374446034024,0.353111588395684,0.0614708852302973,NA,NA
8619,2,FALSE,TRUE,0.5,1,1.4289487877149,1.52795152357706,0.039807715447655,0.0988568921106647,NA,NA
8620,2,FALSE,TRUE,0.5,1,1.72687483230437,1.78608474999743,0.0442920582615501,0.0389221307199643,1.75541021096731,0.0337729899378363
8621,2,FALSE,TRUE,0.5,1,1.39430848729088,1.42826268595208,0.123291616132905,0.148206069327715,1.59453875365372,0.0182578776410591
8622,2,FALSE,TRUE,0.5,1,1.5119603087752,1.43252167779545,0.060846235398864,0.172463305440706,1.5813324749576,0.00775212793753104
8623,2,FALSE,TRUE,0.5,1,1.97443256748481,1.96535027411238,0.117091839040763,0.467804118071183,2.0539711410147,0.0174867143174313
8624,2,FALSE,TRUE,0.5,1,1.6702775315867,1.72132121400466,0.104434357677901,0.408803763748446,1.7772676675694,0.0123641036915662
8625,2,FALSE,TRUE,0.5,1,2.18285562659536,2.18361097999493,0.112697145179456,0.157909773609497,2.20120815988319,0.21500882305291
8626,2,FALSE,TRUE,0.5,1,1.45371235509453,1.4954804803142,0.252637923218927,0.0223796019099361,NA,NA
8627,2,FALSE,TRUE,0.5,1,1.8551539838815,1.81626064389064,0.103418689131719,0.105915709625417,2.01408361120188,0.0444819491534364
8628,2,FALSE,TRUE,0.5,1,1.66392871005438,1.7009827971068,0.308304638217945,0.386525263585423,1.67702419843087,0.00922687869980587
8629,2,FALSE,TRUE,0.5,1,1.68372812915616,1.65540351269223,0.530159807990102,0.211105639641173,1.815981987008,0.00382037517749751
8630,2,FALSE,TRUE,0.5,1,1.98328160783702,2.00383977103041,0.706534606533589,0.499796231207086,1.63377252841561,0.0354485004396858
8631,2,FALSE,TRUE,0.5,1,1.5908501423084,1.47395457404744,0.072633898492479,0.103258469214974,NA,NA
8632,2,FALSE,TRUE,0.5,1,1.62301998137353,1.63300374842016,0.0563655060143532,0.0883433525815792,1.62164347842084,0.0168566144333375
8633,2,FALSE,TRUE,0.5,1,1.76495933989704,1.59408180702113,0.337509559936158,0.628727947034019,NA,NA
8634,2,FALSE,TRUE,0.5,1,2.02866950597249,1.91528647477977,0.191860798559229,0.954314149226166,1.88417605456008,0.00629179554261956
8635,2,FALSE,TRUE,0.5,1,1.79947880686849,1.93710935704272,0.16547892377708,0.0581711174006037,NA,NA
8636,2,FALSE,TRUE,0.5,1,1.83348443551433,1.78714076654637,0.175665099303148,0.265588684261678,1.76533260556154,0.00638850078801882
8637,2,FALSE,TRUE,0.5,1,1.90360391757371,1.93511580745683,1.01219083680678,0.0922679646217837,1.83725088255923,0.00611412883876688
8638,2,FALSE,TRUE,0.5,1,1.92364103755987,1.90399981981558,0.277001744417068,0.137272425809389,1.72059862074369,0.0353242104888243
8639,2,FALSE,TRUE,0.5,1,1.57292862294791,1.67695361726938,0.702406076428636,0.218810549885883,NA,NA
8640,2,FALSE,TRUE,0.5,1,1.39997466525,1.41835155977913,0.341708153860877,0.289828362296204,1.61409094986299,0.00953319976943002
8641,2,FALSE,TRUE,0.5,1,1.11275437003811,1.33281840488422,0.083611742247499,0.120199242061017,NA,NA
8642,2,FALSE,TRUE,0.5,1,1.92491851954993,1.99742108005971,0.851913529727657,0.281715800406973,1.76807687944884,0.00937990530335395
8643,2,FALSE,TRUE,0.5,1,1.58890472338172,1.54051261018006,0.0877488969540028,0.229378559260237,NA,NA
8644,2,FALSE,TRUE,0.5,1,1.43239444453059,1.43043358972103,0.198574394183329,0.229875115919822,NA,NA
8645,2,FALSE,TRUE,0.5,1,1.59067469174906,1.54413597404915,0.135826990139062,0.245510197156282,NA,NA
8646,2,FALSE,TRUE,0.5,1,1.78300094708879,1.78671800185825,0.780254576128877,0.510013362705617,NA,NA
8647,2,FALSE,TRUE,0.5,1,1.46860802825595,1.42409418074558,0.234008924918773,0.286625928660351,NA,NA
8648,2,FALSE,TRUE,0.5,1,1.81613030653449,1.9877505939865,0.140714103106218,0.101363849379551,2.07750425467634,0.0068251736601216
8649,2,FALSE,TRUE,0.5,1,1.96922076119562,1.97948916727823,0.361291643418962,0.538651379461378,1.94537438021925,0.0146250829218791
