SimID,L,Haploid,monoecious,omega,complete,MeanPhen,GenVar,SummedGenVar
73,1,TRUE,TRUE,0,1,1.21925529271517,1.67059635563209,NA
74,1,TRUE,TRUE,0,1,1.29049931296708,0.854726295738425,NA
75,1,TRUE,TRUE,0,1,1.65317960953004,1.52919608916623,NA
76,1,TRUE,TRUE,0,1,1.36005145716618,1.11468431213062,NA
77,1,TRUE,TRUE,0,1,1.21755390855565,1.24967712738233,NA
78,1,TRUE,TRUE,0,1,0.956018302578106,1.06911206142925,NA
79,1,TRUE,TRUE,0,1,1.39414660597509,0.919023280876597,NA
80,1,TRUE,TRUE,0,1,1.62795221510614,1.95562632865335,NA
81,1,TRUE,TRUE,0,1,1.15965000194759,3.93212182028075,NA
82,1,TRUE,TRUE,0,1,1.32751037984405,2.43547874739436,NA
83,1,TRUE,TRUE,0,1,1.41072728643781,1.55185815705889,NA
84,1,TRUE,TRUE,0,1,1.31899942370689,1.06110637355317,NA
85,1,TRUE,TRUE,0,1,1.54765668045892,2.92243433999546,NA
86,1,TRUE,TRUE,0,1,1.48710336833372,1.83886212731882,NA
87,1,TRUE,TRUE,0,1,1.05451113362227,0.717247323500625,NA
88,1,TRUE,TRUE,0,1,1.39905894264955,9.3207678613347,NA
89,1,TRUE,TRUE,0,1,1.18076323237473,0.508465090330142,NA
90,1,TRUE,TRUE,0,1,1.26238260384634,0.74090727494571,NA
91,1,TRUE,TRUE,0,1,1.28295097593453,1.02879172886471,NA
92,1,TRUE,TRUE,0,1,1.62905064537522,7.98763791289654,NA
93,1,TRUE,TRUE,0,1,1.49135952530643,0.805085580342329,NA
94,1,TRUE,TRUE,0,1,1.23657961876321,0.67653360282394,NA
95,1,TRUE,TRUE,0,1,1.2633384463205,1.52499658982923,NA
96,1,TRUE,TRUE,0,1,1.05259301804589,4.16621376735922,NA
97,1,TRUE,TRUE,0,1,1.18069742922842,1.23866793341868,NA
98,1,TRUE,TRUE,0,1,1.46405828002437,1.94104804861455,NA
99,1,TRUE,TRUE,0,1,1.39108062928038,6.00005271465859,NA
